003208-16-0	000066-25-1	006728-26-3	003777-69-3	000110-93-0	000928-96-1	000064-19-7	004313-03-5	000432-25-7	000142-62-1	000100-51-6	000060-12-8	000079-77-6	023267-57-4	000502-69-2	000112-05-0	000112-39-0	015356-74-8	000544-76-3	000629-78-7	000295-48-7	000593-45-3	000112-95-8	000629-94-7	024157-81-1	027185-77-9	000143-07-7	017455-13-9	000067-68-5	000105-76-0	000628-97-7	000084-69-5	000058-08-2	000629-59-4	000629-73-2	013360-61-7	000112-88-9	014901-07-6	000000-00-0	038640-62-9	000119-61-9	005989-02-6	001120-36-1	000294-62-2	000334-48-5	000580-51-8	000544-63-8	000057-10-3	000100-52-7	000119-36-8	000124-07-2	000544-12-7	000475-20-7	018435-45-5	000128-37-0	000096-76-4	038284-27-4	000590-86-3	089816-98-8	000138-86-3	000934-62-3	000079-09-4	077130-65-5	030364-38-6	054446-78-5	001203-08-3	020189-42-8	004219-24-3	000629-62-9	000080-57-9	000110-27-0	000295-02-3	000122-99-6	024851-98-7	000131-11-3	000084-66-2	000090-43-7	001599-68-4	001502-38-1	000761-65-9	036653-82-4	001222-05-5	025154-52-3	000084-74-2	000083-67-0	001576-95-0	041446-53-1	000112-34-5	000127-41-3	000071-41-0	035507-09-6	000087-66-1	000930-30-3	000600-28-2	000098-00-0	001196-01-6	000080-71-7	000108-95-2	000106-44-5	007786-61-0	005932-68-3	000109-00-2	000120-72-9	000934-00-9	000120-80-9	000079-01-6	002462-84-2	005989-54-8	002437-56-1	006846-50-0	000535-77-3	026444-18-8	010482-56-1	000460-01-5	003779-61-1	000527-84-4	000586-62-9	001195-32-0	000078-70-6	000098-55-5	000502-61-4	000075-18-3	000586-63-0	029714-87-2	000517-22-6	000111-14-8	021494-57-5	091186-43-5	000123-35-3	000502-99-8	000673-84-7	000099-87-6	001587-04-8	000087-44-5	000629-92-5	000112-63-0	000301-00-8	005129-60-2	001120-25-8	006929-04-0	000112-61-8	056599-58-7	006975-98-0	057396-98-2	007361-80-0	017699-05-7	000495-60-3	000483-76-1	000644-30-4	021653-33-8	000645-72-7	074663-85-7	000491-07-6	002216-51-5	000112-72-1	078996-11-9	000470-82-6	041446-78-0	026528-50-7	000115-95-7	000080-26-2	056771-77-8	Class
0	1.3025	0.2968	0.3682	0.3751	0.313	4.2631	0.4339	1.0935	2.5799	1.3117	0	2.9425	0.6138	2.5795	0.8859	1.3534	11.7836	0	0	0	0	0	0	0	0	5.2944	5.0389	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3159	0.2659	0	0	0	0	0	0	0	0	0	0.1274	0.137	0.8903	0.3449	0.5527	0.4804	0.5903	4.3738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.3654	2.7373	0.7362	0.5641	0.4771	0	4.5359	0.875	1.4231	2.58	2.0848	1.7279	3.9515	1.8732	2.8689	0	1.225	11.345	0.3224	0	0	0	0	0	0	0	0	1.7014	0	0	0.333	0	14.1443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6767	0.4606	0	0.6262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.2677	1.5253	0.4052	0.5239	0	0	4.6334	0	0	0	1.1104	0	0	0	6.0191	0	1.8741	12.187	0.7737	0	0	0.8407	0	0	11.2558	0	0	0	0	0	0	0	7.704	0	2.6111	0	0	0.9718	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.4013	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.7884	0.1029	0.2373	0.2622	0.2288	6.8929	0	0	1.9787	0	0	0.7142	0	2.6734	1.4815	0.709	3.1974	0.6602	0	0	0	0	0	0	0	1.2829	0.2953	0	0	0	3.4807	3.3884	0	0	0	0	0	0.6435	0	0	0	0.3188	0.7479	2.2314	0	0	0	0.6387	0	0	0	0	0	0	0	0	0	0	0	0	0.5666	0	0	0	0	0	0	0	2.3988	1.5052	0.1166	0.7848	1.6964	1.5053	8.0089	2.425	0.2856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.6303	0.0965	0	0	0	4.3045	0	0	2.4567	0	0	0	0.5419	2.5841	0	0.7745	0	0	0	0	0	0	0	0	0	1.654	0.3663	0	0	0	0	0	0	1.2329	0	0	0.936	1.9188	0	0	0	0	0	0	0	0	0	0.5392	0	0	0	0	0	0	0	0	0	0	0	0	0.3486	0	0	0	0	2.5323	0	0	1.8619	2.0426	0	0	1.8335	1.7071	14.5141	0	0	0.3169	1.1706	0.7518	0.3972	1.4442	1.3549	1.7512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	1.001	0.123	0.2205	0.2274	0	3.6635	0.2689	0	3.3651	0	0.7752	0	1.3527	2.5159	1.4969	0.9311	0	0	0	0	0	0	0	0	0	3.3363	0.8169	0	0	0	0	0	0	0	0	0	1.0431	0	0	0	0	0	0	0	0	0	0	0.6356	0	0.7544	0.1754	0	0	0	0	0	0	0	0	0	0.9401	0	0	0	0	3.5656	0	0	0.8408	1.0512	0.6793	0	2.1493	2.4358	11.5027	1.5594	0	0	0	0	0	0	1.0713	0	0.2779	0.28	0.6596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0.2063	1.0428	0.2016	0.4525	0.2738	0	5.2884	0.3174	0.8208	2.207	1.1489	0	2.6003	1.3751	4.2485	0.9328	1.2137	12.0999	0	0	0	0	0	0	0	0	0	2.6942	0	0	0.475	9.6744	0	0	0	0	0	0	0.2672	0	0	0	0	0	0	0	0	4.3733	0.5586	0.2725	0.4695	0.1906	0	0	0	0	0.4529	0	0	0	0	0.8868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.8392	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.799	0.1472	0.239	0.1552	0	4.1954	0.337	0	3.0919	0	0	0.9921	0.7613	2.3718	0	0.6096	0	0	0	0	0	0	0	0	0	0	0.6216	0	0	0	0	0	0	0	1.2298	0	0	0	0	0	0	0	0	0	0.8039	0	0	0.7309	0	1.0732	0.1155	0	0	0	0	0	0	0	0	0	0.883	0	0	0	0	2.4132	0	0	1.9486	1.5409	0.5358	0	1.6553	1.5771	14.449	0	0	0	0	0	0.7813	0	0	0	0	0	0	0	0.1361	0.2274	4.2115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.3153	0	0	0	0	7.8235	0	0	0	0	0	0.6648	0	0	0.5498	0.8158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7354	0	0	0	0	0	3.1555	0	0	0	0	0	0	0	0	4.0843	0.218	0	0	0	0	0	0	0	0	0	0	0	0	0.5642	0	0	0	0	0	0	0	0	1.26	0	0	1.014	1.0785	7.1563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5729	0.2958	1.1097	1.3375	1.3181	2.9664	0.9801	0.6132	0.6669	2.2249	1.4363	1.8053	2.5601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0.5785	0	0	0	0	3.2723	0	0	0	0	0	0.8676	0	2.768	0	1.0286	0	0	0	0	0	0	0	0	0	4.787	0	0	0	0	6.2415	0	0	0	0	0	0	0	0	0	0	0	0	2.8033	0	2.1203	0	0.4786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.4135	1.5184	0	0	1.8005	1.5371	13.8569	0	0	0	0	0	0.3844	1.1382	1.8116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2481	1.0017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
