001574-41-0	000078-79-5	018631-83-9	000066-25-1	006728-26-3	000591-93-5	000592-46-1	000142-08-5	000100-52-7	086921-32-6	018968-23-5	000098-86-2	000100-51-6	000095-16-9	000108-95-2	000128-37-0	000110-62-3	000124-13-0	000110-93-0	000928-96-1	000000-00-0	001222-05-5	000504-60-9	000124-19-6	030086-02-3	001472-09-9	000544-76-3	000629-73-2	000091-20-3	038640-62-9	024157-81-1	003208-16-0	000098-01-1	000502-99-8	038284-27-4	000098-00-0	000119-36-8	000554-61-0	000079-77-6	000060-12-8	000592-48-3	003387-41-5	000096-09-3	000475-03-6	000586-62-9	000142-83-6	004313-03-5	017455-13-9	000534-22-5	004170-30-3	000112-31-2	074663-85-7	006108-61-8	018829-55-5	002454-31-1	000930-60-9	000090-02-8	036653-82-4	000096-54-8	000109-08-0	074663-86-8	000122-78-1	003796-70-1	014901-07-6	000872-05-9	000123-72-8	069668-89-9	000119-61-9	001120-56-5	000673-84-7	000138-86-3	003779-61-1	001576-95-0	024851-98-7	000078-70-6	002561-21-9	000432-25-7	000127-41-3	000110-54-3	020273-24-9	000293-96-9	000123-35-3	002548-87-0	000590-86-3	001120-36-1	035507-09-6	005989-54-8	075135-41-0	074663-88-0	000541-05-9	000580-51-8	000931-88-4	055669-96-0	000064-19-7	000108-38-3	000106-42-3	000591-49-1	000109-97-7	035373-06-9	000591-48-0	002080-89-9	031295-56-4	000629-78-7	000111-71-7	000108-88-3	029714-87-2	001120-73-6	001119-14-8	000124-11-8	006765-39-5	002437-56-1	000108-93-0	000100-41-4	002408-37-9	000079-01-6	037617-26-8	000112-95-8	001921-70-6	000629-62-9	000295-17-0	013360-61-7	000593-45-3	007098-21-7	000821-95-4	001330-20-7	000544-12-7	006874-10-8	005989-33-3	033100-27-5	001686-30-2	000099-86-5	000099-85-4	000535-77-3	027576-03-0	000141-12-8	000105-87-3	000471-84-1	000080-56-8	Class
3.6164	0	0	8.0994	8.6215	0	1.8406	0	4.6484	0	0	0	0.4964	0.6247	1.0435	0.6638	2.7366	0	1.9089	4.7403	1.6647	0	0	1.2554	0	0	0	0	0.3444	0.2782	0.1479	0.8374	0	0	0	0	0.4505	0	0	0	0	0	0	0	0	0	4.9386	0	0	0	1.5032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9587	0.7041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
1.6336	0	0	5.8594	12.7131	0	0	0	6.4716	0	0	0	0.4367	0.651	0	0	0	0	1.6441	3.7918	0	0	0	0	0	0	0	0	0	0	0	1.2074	0	0	0	0	0.7077	0	0	0.4283	0	0	0	0	0	0	4.5956	1.0419	0	0	0	0	0	0	0	0	0	0	0	0	0	1.6032	0	0.6733	0	0	0	0	0	0	0	0	2.0532	0	1.0141	0.8427	1.6422	1.9025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0	0	8.3411	5.9078	0	0	0	3.8245	0	0	0	0.7581	0.3735	0.7535	0	0	0	1.5243	1.2896	0.1264	0	0	1.98	0	0	0	0	0	0	0	0.8198	4.3573	0	0	0	0.408	0	0.2041	0.3198	0	0	0	0	0.137	0	0	0.5127	0	0	0	0	0	0	0	0	0	0	0	0	0	0.691	0	0	0.2484	0	0	0	0	0	1.3573	0.2586	1.5084	0.5537	0.5638	0	0	0	14.458	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
2.074	0	0	9.1902	6.7227	0	0	0	3.5264	0	0	0	0.7197	0.4416	0.8073	0	0	0	0.9248	0.7739	0.2415	0	0	0	0	0	0	0	0	0.1656	0.5326	1.5371	6.2098	0	0	0	0.3528	0	0.1694	0.3337	0	0	0	0	0	0	0	0.169	0.5377	0	0	0	0	0	0	0.9308	0.8165	0.3651	1.0611	0.3526	0	0.9105	1.7188	0	0	0	0	0	0	0	0.2105	0	0	0	0	0	0	0	0	0	0.2449	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
0	0	0	4.8575	8.4217	0	0	0	6.1147	0	0	0	0.4346	1.0478	1.0649	0	0	0	1.576	0	0	0	0	0	0	0	0	2.1073	0	0	0	0.6468	0	0	0	0	0.8578	0	0.4753	0	0	0	0	0	0	0	0	1.2738	0	0	0	0	0	0	0	0.903	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6179	0	0	2.8704	0	0	0	0	1.4661	0	0.9629	0.5073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
2.4848	0	0	11.9737	8.4897	0	0	0	6.4242	0	0	0	0	0.6772	0.7944	0	0	0	1.9268	1.6822	0	0	0	0	0	0	0	0	0	0	0	1.6485	0	0	0	0	0.6929	0	0	0	0	0	0	0	0.8523	0	4.7071	1.9769	0	0	0	0	0	0	0	0.7277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.592	0	0	1.54	0	0	0	2.9108	0.482	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	TR
3.8752	0	0	4.8128	1.255	0	0	0	3.4181	0	0	0	0	0.4923	0	0.1602	0	1.5133	1.6586	0.9515	0	0	0	6.0242	0	0	0	0	0	0	0	0	0	0.2288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.7216	0	0	0	0	0	0	0	0	0	0	0.9829	0	0	0	0	0	0	0	0	0.6224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.9374	0.448	0	0	0	0	0	0	0	1.6276	0.781	0	0	0	0	0	0	0	0.1377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SR
3.9011	0	0	4.1006	0.9255	0	0	0	4.0638	0	0	0	0	0.7123	0	0.4278	0	0.8487	1.638	1.1357	0	0	0	0	0	0	0.3517	0	0	0	0	0	0	0	0	0	1.3715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9488	0	0	0	0	0	0	0	0	0	0	3.0577	0	0	0	0	0	0	0	0.5373	0.1794	0.4377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3655	0	0	0	0	0	0	0	0	0	0	0.216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SR
3.2481	0	0	2.136	0.3941	0	0	0	3.613	0	0	0	0	1.0427	0	0.3578	0	0.7894	1.2891	0.9053	0	0	0	3.5768	0	0	2.037	3.7261	0	0	0	0	0	0	0	0	3.7484	0	0	0	0	0	0	0	0	0	0	0	0	0	6.7039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6144	0.143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.7892	0	0.2566	0	0	0	0	0.6866	0	0	0	0.3927	1.4883	0.4586	0.8829	3.5061	1.7882	1.1923	1.8921	2.688	3.4269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SR
4.0506	0	0	4.2842	1.3092	0	0	0	3.9554	0	0	0	0	1.2733	0	1.0391	0	0.5444	0.8837	1.3578	0	0	0	0	0	0	0.8977	0.9931	0	0	0	0	0	0	0.5387	0	1.5205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.154	0	3.4957	0	0	0	0	0	0.4116	0.1247	0	0	0	0	0	0	0	0	0	0	0	1.5634	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3542	0	0	0	0	0	0	0	0	0	0	0	1.3724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	SR
